Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,Date,Close Price,upperlimit,lowerlimit,label
RELIANCE,EQ,29-May-20,1472.25,1468,1472,1452.65,1470,1464.4,1462.79,18471770,27020285851,300018,10292573,55.72,,,29-May-20,1464.4,1537.62,1391.18,
RELIANCE,EQ,1-Jun-20,1464.4,1480,1538.35,1475.95,1521.9,1520.35,1512.99,18434065,27890475620,354436,5711151,30.98,,,1-Jun-20,1520.35,1596.3675,1444.3325,
RELIANCE,EQ,2-Jun-20,1520.35,1526,1540,1520.8,1537.95,1535.7,1531.68,10224102,15660044884,224472,3522633,34.45,,,2-Jun-20,1535.7,1612.485,1458.915,
RELIANCE,EQ,3-Jun-20,1535.7,1545,1560,1533.35,1543,1541.65,1543.74,11713666,18082824556,227825,5197313,44.37,,,3-Jun-20,1541.65,1618.7325,1464.5675,
RELIANCE,EQ,4-Jun-20,1541.65,1544,1589.5,1541,1576,1579.8,1570.24,15784612,24785560881,356122,4083577,25.87,,,4-Jun-20,1579.8,1658.79,1500.81,
RELIANCE,EQ,5-Jun-20,1579.8,1595,1618,1573.7,1579.2,1581.7,1596.41,15270435,24377905392,339237,3362416,22.02,,,5-Jun-20,1581.7,1660.785,1502.615,
RELIANCE,EQ,8-Jun-20,1581.7,1618.4,1618.4,1565,1571.8,1569.5,1588.27,14498055,23026897487,322987,3584176,24.72,,,8-Jun-20,1569.5,1647.975,1491.025,
RELIANCE,EQ,9-Jun-20,1569.5,1560.3,1583,1533,1535.9,1537.15,1555.91,11934073,18568335407,307011,2953746,24.75,,,9-Jun-20,1537.15,1614.0075,1460.2925,
RELIANCE,EQ,10-Jun-20,1537.15,1543.1,1579.55,1540.05,1575,1572.15,1556.73,10214426,15901058051,262174,2815033,27.56,,,10-Jun-20,1572.15,1650.7575,1493.5425,
RELIANCE,EQ,11-Jun-20,1572.15,1566,1567.95,1531,1538.8,1537.7,1546.33,9408283,14548302925,269490,3034020,32.25,,,11-Jun-20,1537.7,1614.585,1460.815,
