symbols,scrips,Date,Close,Today - yesterday Price,5% lower or upper hit?,How much is 5% price diff,5% down price,How much is 5% price diff,5% up price,# days,Back to back
HDFCBANK,EQ,05/11/19,1240,3,,,,,,,
HDFCBANK,EQ,06/11/19,1257,17,,,,,,,
HDFCBANK,EQ,07/11/19,1264,7,Y,63.2,1200.8,63.2,1327.2,35,
HDFCBANK,EQ,08/11/19,1256,-8,,,,,,,
HDFCBANK,EQ,11/11/19,1265,9,,,,,,,
HDFCBANK,EQ,13/11/19,1258,-7,,,,,,,
HDFCBANK,EQ,14/11/19,1274,16,,,,,,,
HDFCBANK,EQ,15/11/19,1278,4,,,,,,,
HDFCBANK,EQ,18/11/19,1262,-16,,,,,,,
HDFCBANK,EQ,19/11/19,1272,10,,,,,,,
HDFCBANK,EQ,20/11/19,1273,1,,,,,,,
HDFCBANK,EQ,21/11/19,1283,10,,,,,,,
HDFCBANK,EQ,22/11/19,1265,-18,,,,,,,
HDFCBANK,EQ,25/11/19,1271,6,,,,,,,
HDFCBANK,EQ,26/11/19,1275,4,,,,,,,
HDFCBANK,EQ,27/11/19,1278,3,,,,,,,
HDFCBANK,EQ,28/11/19,1265,-13,,,,,,,
HDFCBANK,EQ,29/11/19,1275,10,,,,,,,
HDFCBANK,EQ,02/12/19,1266,-9,,,,,,,
HDFCBANK,EQ,03/12/19,1255,-11,,,,,,,
HDFCBANK,EQ,04/12/19,1252,-3,,,,,,,
HDFCBANK,EQ,05/12/19,1246,-6,,,,,,,
HDFCBANK,EQ,06/12/19,1246,0,,,,,,,
HDFCBANK,EQ,09/12/19,1243,-3,,,,,,,
HDFCBANK,EQ,10/12/19,1250,7,,,,,,,
HDFCBANK,EQ,11/12/19,1249,-1,,,,,,,
HDFCBANK,EQ,12/12/19,1264,15,,,,,,,
HDFCBANK,EQ,13/12/19,1264,0,,,,,,,
HDFCBANK,EQ,16/12/19,1257,-7,,,,,,,
HDFCBANK,EQ,17/12/19,1271,14,,,,,,,
HDFCBANK,EQ,18/12/19,1292,21,,,,,,,
HDFCBANK,EQ,19/12/19,1289,-3,,,,,,,
HDFCBANK,EQ,20/12/19,1297,8,,,,,,,
HDFCBANK,EQ,23/12/19,1302,5,,,,,,,
HDFCBANK,EQ,24/12/19,1289,-13,,,,,,,
HDFCBANK,EQ,26/12/19,1270,-19,,,,,,,
HDFCBANK,EQ,27/12/19,1275,5,,,,,,,
HDFCBANK,EQ,30/12/19,1282,7,,,,,,,
HDFCBANK,EQ,31/12/19,1272,-10,,,,,,,
HDFCBANK,EQ,01/01/20,1279,7,,,,,,,
HDFCBANK,EQ,02/01/20,1287,8,,,,,,,
HDFCBANK,EQ,03/01/20,1268,-19,,,,,,,
HDFCBANK,EQ,06/01/20,1241,-27,,,,,,,
HDFCBANK,EQ,07/01/20,1261,20,,,,,,,
HDFCBANK,EQ,08/01/20,1257,-4,,,,,,,
HDFCBANK,EQ,09/01/20,1271,14,,,,,,,
HDFCBANK,EQ,10/01/20,1283,12,,,,,,,
HDFCBANK,EQ,13/01/20,1286,3,,,,,,,
HDFCBANK,EQ,14/01/20,1290,4,,,,,,,
HDFCBANK,EQ,15/01/20,1284,-6,,,,,,,
HDFCBANK,EQ,16/01/20,1288,4,,,,,,,
HDFCBANK,EQ,17/01/20,1278,-10,,,,,,,
HDFCBANK,EQ,20/01/20,1255,-23,,,,,,,
HDFCBANK,EQ,21/01/20,1244,-11,,,,,,,
HDFCBANK,EQ,22/01/20,1241,-3,,,,,,,
HDFCBANK,EQ,23/01/20,1245,4,,,,,,,
HDFCBANK,EQ,24/01/20,1245,0,,,,,,,
HDFCBANK,EQ,27/01/20,1213,-32,,,,,,,
HDFCBANK,EQ,28/01/20,1223,10,,,,,,,
HDFCBANK,EQ,29/01/20,1236,13,,,,,,,
HDFCBANK,EQ,30/01/20,1226,-10,,,,,,,
HDFCBANK,EQ,31/01/20,1226,0,,,,,,,
HDFCBANK,EQ,03/02/20,1193,-33,,,,,,,
HDFCBANK,EQ,04/02/20,1230,37,,,,,,,
HDFCBANK,EQ,05/02/20,1245,15,,,,,,,
HDFCBANK,EQ,06/02/20,1240,-5,,,,,,,
HDFCBANK,EQ,07/02/20,1242,2,,,,,,,
HDFCBANK,EQ,10/02/20,1240,-2,,,,,,,
HDFCBANK,EQ,11/02/20,1241,1,,,,,,,
HDFCBANK,EQ,12/02/20,1249,8,,,,,,,
HDFCBANK,EQ,13/02/20,1241,-8,,,,,,,
HDFCBANK,EQ,14/02/20,1219,-22,,,,,,,
HDFCBANK,EQ,17/02/20,1217,-2,,,,,,,
HDFCBANK,EQ,18/02/20,1213,-4,,,,,,,
HDFCBANK,EQ,19/02/20,1227,14,,,,,,,
HDFCBANK,EQ,20/02/20,1217,-10,,,,,,,
HDFCBANK,EQ,24/02/20,1210,-7,,,,,,,
